""," Date "," Package "," Title "
"1","2017-03-08","DHARMa","Residual Diagnostics for Hierarchical (Multi-Level / Mixed)
Regression Models"
"2","2017-03-08","mombf","Moment and Inverse Moment Bayes Factors"
"3","2017-03-07","ALSM","Companion to Applied Linear Statistical Models"
"4","2017-03-07","biolink","Create Hyperlinks to Biological Databases and Resources"
"5","2017-03-07","circlize","Circular Visualization"
"6","2017-03-07","complexity","Calculate the Proportion of Permutations in Line with an
Informative Hypothesis"
"7","2017-03-07","cpr","Control Polygon Reduction"
"8","2017-03-07","ctsem","Continuous Time Structural Equation Modelling"
"9","2017-03-07","diveMove","Dive Analysis and Calibration"
"10","2017-03-07","doctr","Easily Check Data Consistency and Quality"
"11","2017-03-07","drake","Data Frames in R for Make"
"12","2017-03-07","eiCompare","Compares EI, Goodman, RxC Estimates"
"13","2017-03-07","enrichwith","Methods to Enrich R Objects with Extra Components"
"14","2017-03-07","epxToR","Import 'Epidata' XML Files '.epx'"
"15","2017-03-07","fdaMixed","Functional Data Analysis in a Mixed Model Framework"
"16","2017-03-07","fishmethods","Fishery Science Methods and Models in R"
"17","2017-03-07","frailtypack","General Frailty Models: Shared, Joint and Nested Frailty Models
with Prediction"
"18","2017-03-07","FRK","Fixed Rank Kriging"
"19","2017-03-07","fslr","Wrapper Functions for FSL ('FMRIB' Software Library) from
Functional MRI of the Brain ('FMRIB')"
"20","2017-03-07","GDAtools","A Toolbox for the Analysis of Categorical Data in Social
Sciences, and Especially Geometric Data Analysis"
"21","2017-03-07","GetoptLong","Parsing Command-Line Arguments and Variable Interpolation"
"22","2017-03-07","gnumeric","Read Data from Files Readable by 'gnumeric'"
"23","2017-03-07","GSED","Group Sequential Enrichment Design"
"24","2017-03-07","lexicon","Lexicons for Text Analysis"
"25","2017-03-07","lmomco","L-Moments, Censored L-Moments, Trimmed L-Moments, L-Comoments,
and Many Distributions"
"26","2017-03-07","logbin","Relative Risk Regression Using the Log-Binomial Model"
"27","2017-03-07","mdsOpt","Searching for Optimal MDS Procedure for Metric Data"
"28","2017-03-07","nzelect","New Zealand Election Data"
"29","2017-03-07","otinference","Inference for Optimal Transport"
"30","2017-03-07","quadrupen","Sparsity by Worst-Case Quadratic Penalties"
"31","2017-03-07","randomForestSRC","Random Forests for Survival, Regression and Classification
(RF-SRC)"
"32","2017-03-07","remindR","Insert and Extract ""Reminders"" from Function Comments"
"33","2017-03-07","riskRegression","Risk Regression Models and Prediction Scores for Survival
Analysis with Competing Risks"
"34","2017-03-07","rkt","Mann-Kendall Test, Seasonal and Regional Kendall Tests"
"35","2017-03-07","rmumps","Wrapper for MUMPS Library"
"36","2017-03-07","RProtoBuf","R Interface to the 'Protocol Buffers' 'API' (Version 2 or 3)"
"37","2017-03-07","sets","Sets, Generalized Sets, Customizable Sets and Intervals"
"38","2017-03-07","sjmisc","Data Transformation and Labelled Data Utility Functions"
"39","2017-03-07","spatsurv","Bayesian Spatial Survival Analysis with Parametric Proportional
Hazards Models"
"40","2017-03-07","SpecsVerification","Forecast Verification Routines for Ensemble Forecasts of Weather
and Climate"
"41","2017-03-07","spm12r","Wrapper Functions for 'SPM' (Statistical Parametric Mapping)
Version 12 from the 'Wellcome' Trust Centre for 'Neuroimaging'"
"42","2017-03-07","stm","Estimation of the Structural Topic Model"
"43","2017-03-07","StructFDR","False Discovery Control Procedure Integrating the Prior
Structure Information"
"44","2017-03-07","umx","Structural Equation Modelling in R with 'OpenMx'"
"45","2017-03-07","woeBinning","Supervised Weight of Evidence Binning of Numeric Variables and
Factors"
"46","2017-03-06","BMAmevt","Multivariate Extremes: Bayesian Estimation of the Spectral
Measure"
"47","2017-03-06","Delaporte","Statistical Functions for the Delaporte Distribution"
"48","2017-03-06","DySeq","Functions for Dyadic Sequence Analyses"
"49","2017-03-06","edarf","Exploratory Data Analysis using Random Forests"
"50","2017-03-06","elementR","A Set of R6 Classes & a Shiny Application for Reducing Elemental
LA-ICPMS Data from Solid Structures"
"51","2017-03-06","emojifont","Emoji and Font Awesome in Graphics"
"52","2017-03-06","ForestTools","Analysing Remotely Sensed Forest Data"
"53","2017-03-06","FSelectorRcpp","'Rcpp' Implementation of 'FSelector' Entropy-Based Feature
Selection Algorithms with a Sparse Matrix Support"
"54","2017-03-06","funchir","Convenience Functions by Michael Chirico"
"55","2017-03-06","gitlabr","Access to the Gitlab API"
"56","2017-03-06","GlobalOptions","Generate Functions to Get or Set Global Options"
"57","2017-03-06","gt4ireval","Generalizability Theory for Information Retrieval Evaluation"
"58","2017-03-06","hashmap","The Faster Hash Map"
"59","2017-03-06","infoDecompuTE","Information Decomposition of Two-Phase Experiments"
"60","2017-03-06","interflex","Multiplicative Interaction Models Diagnostics and Visualization"
"61","2017-03-06","mc2d","Tools for Two-Dimensional Monte-Carlo Simulations"
"62","2017-03-06","MLID","Multilevel Index of Dissimilarity"
"63","2017-03-06","MTA","Multiscalar Territorial Analysis"
"64","2017-03-06","pec","Prediction Error Curves for Risk Prediction Models in Survival
Analysis"
"65","2017-03-06","prodlim","Product-Limit Estimation for Censored Event History Analysis"
"66","2017-03-06","ptw","Parametric Time Warping"
"67","2017-03-06","Rcssplot","Styling of Graphics using Cascading Style Sheets"
"68","2017-03-06","RVowpalWabbit","R Interface to the Vowpal Wabbit"
"69","2017-03-06","sjstats","Collection of Convenient Functions for Common Statistical
Computations"
"70","2017-03-06","syuzhet","Extracts Sentiment and Sentiment-Derived Plot Arcs from Text"
"71","2017-03-06","twilio","An Interface to the Twilio API for R"
"72","2017-03-05","AIG","Automatic Item Generator"
"73","2017-03-05","chinese.misc","Miscellaneous Tools for Chinese Text Mining and More"
"74","2017-03-05","clusterSEs","Calculate Cluster-Robust p-Values and Confidence Intervals"
"75","2017-03-05","distances","Tools for Distances and Metrics"
"76","2017-03-05","IGM.MEA","IGM MEA Analysis"
"77","2017-03-05","imPois","Imprecise Inference for Poisson Sampling Models"
"78","2017-03-05","mmpf","Monte-Carlo Methods for Prediction Functions"
"79","2017-03-05","rdist","Calculate Pairwise Distances"
"80","2017-03-05","sjPlot","Data Visualization for Statistics in Social Science"
"81","2017-03-05","sNPLS","NPLS Regression with L1 Penalization"
"82","2017-03-05","stpm","Stochastic Process Model for Analysis of Longitudinal and
Time-to-Event Outcomes"
"83","2017-03-05","Surrogate","Evaluation of Surrogate Endpoints in Clinical Trials"
"84","2017-03-05","VarED","Variance Estimation using Difference-Based Methods"
"85","2017-03-05","wru","Who Are You? Bayesian Prediction of Racial Category Using
Surname and Geolocation"
"86","2017-03-04","CNLTreg","Complex-Valued Wavelet Lifting for Signal Denoising"
"87","2017-03-04","CPsurv","Nonparametric Change Point Estimation for Survival Data"
"88","2017-03-04","grattan","Perform Common Quantitative Tasks for Australian Analysts and to
Support Grattan Institute Analysis"
"89","2017-03-04","icarus","Calibrates and Reweights Units in Samples"
"90","2017-03-04","maGUI","A Graphical User Interface for Microarray Data Analysis and
Annotation"
