Brand Purchased
Coke Classic
Diet Coke
Pepsi-Cola
Diet Coke
Coke Classic
Coke Classic
Dr. Pepper
Diet Coke
Pepsi-Cola
Pepsi-Cola
Coke Classic
Dr. Pepper
Sprite
Coke Classic
Diet Coke
Coke Classic
Coke Classic
Sprite
Coke Classic
Diet Coke
Coke Classic
Diet Coke
Coke Classic
Sprite
Pepsi-Cola
Coke Classic
Coke Classic
Coke Classic
Pepsi-Cola
Coke Classic
Sprite
Dr. Pepper
Pepsi-Cola
Diet Coke
Pepsi-Cola
Coke Classic
Coke Classic
Coke Classic
Pepsi-Cola
Dr. Pepper
Coke Classic
Diet Coke
Pepsi-Cola
Pepsi-Cola
Pepsi-Cola
Pepsi-Cola
Coke Classic
Dr. Pepper
Pepsi-Cola
Sprite
